train_no,train_name,zone,section,current_delay,preceding_train_headway,visibility_meters,junction_congestion,train_priority,dwell_deviation,target_delay_min
12078,Vijayawada Jan Shatabdi Express,SCoR,BZA-KI,4.72,25.23,1131.0,0.246,1,3.21,6.6
16031,Andaman Express,SCoR,GNT-NLR,9.44,25.12,8034.3,0.286,3,2.28,10.14
16032,Andaman Express,SCoR,BZA-VSKP,15.04,26.81,8299.4,0.668,3,2.69,20.04
17201,Golconda Express,SCR,BZA-WL,15.67,30.3,8074.7,0.226,3,2.77,22.31
17202,Golconda Express,SCR,WL-SC,35.27,17.87,8068.1,0.325,3,1.41,38.71
17656,Kacheguda - Puducherry Express,SCR,GNT-RGDA,3.21,24.97,1268.2,0.466,2,2.34,10.05
22117,Kacheguda - Guntur AC Double Decker Express,SCR,GNT-BZA,2.37,28.2,3850.5,0.405,1,0.46,3.19
22118,Kacheguda - Guntur AC Double Decker Express,SCR,BZA-EE,19.12,9.52,4121.5,0.548,1,1.06,18.75
12002,Bhopal Shatabdi Express,NCR,NDLS-CNB,9.55,10.78,8187.5,0.176,1,3.34,7.5
12001,Bhopal Shatabdi Express,NCR,CNB-ALD,6.8,24.31,8139.8,0.441,1,2.84,10.88
12049,Gatimaan Express,NCR,NDLS-GZB,2.66,15.22,1155.9,0.247,1,1.44,2.46
12050,Gatimaan Express,NCR,GZB-ALJN,42.35,4.85,8011.6,0.395,1,0.0,43.45
20172,Rani Kamalapati Vande Bharat,NCR,ALJN-TDL,2.76,17.42,8142.3,0.231,1,1.71,0.0
20171,Rani Kamalapati Vande Bharat,NCR,TDL-AGC,10.97,22.2,3959.3,0.443,1,2.29,7.99
12279,Taj Express,NCR,AGC-DHO,24.13,33.19,8082.7,0.251,2,2.37,26.19
12280,Taj Express,NCR,DHO-GWL,3.5,16.31,361.6,0.624,2,1.47,16.27
12452,Shram Shakti Express,NCR,GWL-DBA,1.17,26.45,159.2,0.148,2,3.16,20.82
12451,Shram Shakti Express,NCR,DBA-JHS,1.15,7.78,1054.0,0.333,2,1.42,7.2
12417,Prayagraj Express,NCR,NDLS-CNB,15.83,21.63,4061.2,0.454,2,2.39,22.02
12418,Prayagraj Express,NCR,CNB-ALD,16.07,18.73,8102.2,0.537,2,0.56,16.82
12559,Shiv Ganga Express,NCR,NDLS-GZB,27.09,23.66,1521.2,0.327,2,3.56,33.2
12560,Shiv Ganga Express,NCR,GZB-ALJN,0.79,29.04,8027.6,0.319,2,1.48,2.54
12137,Punjab Mail,NCR,ALJN-TDL,31.43,4.58,1462.4,0.23,2,1.16,42.68
12138,Punjab Mail,NCR,TDL-AGC,25.61,28.68,3844.2,0.416,2,5.04,36.15
12615,Grand Trunk Express,NCR,AGC-DHO,5.3,13.03,1099.8,0.575,2,1.89,13.82
12616,Grand Trunk Express,NCR,DHO-GWL,25.08,4.49,8001.4,0.298,2,2.08,31.25
13007,Ashutosh Toofan Express,NCR,GWL-DBA,11.32,6.45,4238.6,0.635,3,2.67,23.22
13008,Ashutosh Toofan Express,NCR,DBA-JHS,8.68,6.49,7957.8,0.495,3,1.13,12.88
04414,Delhi - Aligarh MEMU Passenger,NCR,NDLS-CNB,0.71,14.3,8090.0,0.303,3,3.75,8.36
04183,Tundla - Delhi MEMU Passenger,NCR,CNB-ALD,14.53,6.84,8152.3,0.508,3,1.6,21.59
04159,Kanpur - Tundla MEMU Passenger,NCR,NDLS-GZB,1.85,24.53,7881.6,0.569,3,1.14,9.07
01888,Gwalior - Agra Cantt Passenger,NCR,GZB-ALJN,18.89,3.35,8304.3,0.507,3,3.61,33.84
07091,Guntur - Delhi Passenger Special,SCoR,BZA-KI,7.97,12.34,1250.8,0.169,3,0.54,17.33
07764,Guntur - Vijayawada MEMU Passenger,SCoR,GNT-NLR,5.89,28.32,358.6,0.641,3,1.75,18.8
17239,Simhadri Daily Express,SCoR,BZA-VSKP,70.46,20.01,8201.9,0.457,2,0.77,59.0
17240,Simhadri Daily Express,SCoR,BZA-WL,15.39,23.33,3968.7,0.62,2,2.3,21.38
17243,Guntur - Rayagada Express,SCoR,WL-SC,16.72,28.3,8062.2,0.601,2,0.97,17.48
17244,Guntur - Rayagada Express,SCoR,GNT-RGDA,26.53,26.5,481.2,0.59,2,2.63,39.74
12705,Guntur - Secunderabad Intercity Express,SCR,GNT-BZA,15.12,10.21,7817.4,0.281,2,1.52,20.1
12706,Guntur - Secunderabad Intercity Express,SCR,BZA-EE,2.5,3.62,4173.4,0.406,2,2.53,12.43
12743,Vijayawada - Gudur Amaravati Express,SCoR,BZA-KI,12.14,12.03,7992.1,0.647,2,2.52,12.8
12744,Vijayawada - Gudur Amaravati Express,SCoR,GNT-NLR,20.24,27.45,1057.6,0.567,2,0.0,20.79
12077,Vijayawada Jan Shatabdi Express,SCoR,BZA-VSKP,27.38,31.2,8174.7,0.399,1,2.41,24.92
12078,Vijayawada Jan Shatabdi Express,SCoR,BZA-WL,23.43,34.92,7985.4,0.297,1,1.34,23.36
16031,Andaman Express,SCoR,WL-SC,3.17,1.49,1003.2,0.514,3,2.79,29.61
16032,Andaman Express,SCoR,GNT-RGDA,11.76,30.39,4021.7,0.202,3,0.91,20.51
17201,Golconda Express,SCR,GNT-BZA,31.6,32.59,7790.1,0.273,3,2.16,35.28
17202,Golconda Express,SCR,BZA-EE,13.48,24.04,7902.0,0.681,3,0.61,19.59
17656,Kacheguda - Puducherry Express,SCR,BZA-KI,12.13,21.38,7940.3,0.711,2,1.91,19.42
22117,Kacheguda - Guntur AC Double Decker Express,SCR,GNT-NLR,14.43,29.5,1399.6,0.319,1,1.79,10.54
22118,Kacheguda - Guntur AC Double Decker Express,SCR,BZA-VSKP,3.89,32.32,3739.1,0.583,1,0.96,5.36
12002,Bhopal Shatabdi Express,NCR,GZB-ALJN,25.74,23.41,8039.2,0.627,1,1.8,27.48
12001,Bhopal Shatabdi Express,NCR,ALJN-TDL,43.51,16.81,1172.6,0.323,1,0.6,47.06
12049,Gatimaan Express,NCR,TDL-AGC,7.6,10.13,7894.3,0.372,1,1.43,9.87
12050,Gatimaan Express,NCR,AGC-DHO,3.91,28.14,7847.8,0.351,1,0.0,2.91
20172,Rani Kamalapati Vande Bharat,NCR,DHO-GWL,5.03,30.4,8049.8,0.519,1,1.07,5.68
20171,Rani Kamalapati Vande Bharat,NCR,GWL-DBA,10.43,18.19,7786.0,0.533,1,0.5,8.41
12279,Taj Express,NCR,DBA-JHS,15.49,20.53,3651.7,0.417,2,1.17,22.4
12280,Taj Express,NCR,NDLS-CNB,2.61,17.64,3501.3,0.1,2,1.06,4.61
12452,Shram Shakti Express,NCR,CNB-ALD,17.25,5.28,7705.4,0.468,2,1.85,19.78
12451,Shram Shakti Express,NCR,NDLS-GZB,5.59,23.5,7806.3,0.536,2,0.85,10.44
12417,Prayagraj Express,NCR,GZB-ALJN,42.05,20.42,7971.4,0.664,2,2.92,46.02
12418,Prayagraj Express,NCR,ALJN-TDL,19.07,6.95,3897.6,0.382,2,0.44,24.52
12559,Shiv Ganga Express,NCR,TDL-AGC,11.84,26.51,8056.3,0.1,2,0.38,14.73
12560,Shiv Ganga Express,NCR,AGC-DHO,28.69,16.91,7909.0,0.706,2,2.91,32.61
12137,Punjab Mail,NCR,DHO-GWL,2.25,2.04,8021.2,0.1,2,2.56,11.42
12138,Punjab Mail,NCR,GWL-DBA,21.93,6.46,8258.7,0.14,2,1.8,26.13
12615,Grand Trunk Express,NCR,DBA-JHS,3.96,6.9,7932.5,0.545,2,0.96,9.74
12616,Grand Trunk Express,NCR,NDLS-CNB,31.77,14.17,8277.3,0.61,2,2.11,34.41
13007,Ashutosh Toofan Express,NCR,CNB-ALD,3.7,21.79,4130.4,0.261,3,2.14,13.45
13008,Ashutosh Toofan Express,NCR,NDLS-GZB,55.39,11.6,8220.9,0.495,3,0.94,61.87
04414,Delhi - Aligarh MEMU Passenger,NCR,GZB-ALJN,31.68,3.1,8048.6,0.184,3,2.08,45.81
04183,Tundla - Delhi MEMU Passenger,NCR,ALJN-TDL,13.01,26.54,955.4,0.509,3,2.26,23.15
04159,Kanpur - Tundla MEMU Passenger,NCR,TDL-AGC,6.36,14.68,1370.3,0.24,3,0.91,19.69
01888,Gwalior - Agra Cantt Passenger,NCR,AGC-DHO,1.53,25.99,7961.2,0.712,3,0.05,9.91
07091,Guntur - Delhi Passenger Special,SCoR,BZA-WL,1.49,19.59,589.6,0.1,3,2.47,11.81
07764,Guntur - Vijayawada MEMU Passenger,SCoR,WL-SC,0.13,29.1,1056.0,0.57,3,1.68,8.58
17239,Simhadri Daily Express,SCoR,GNT-RGDA,16.11,2.1,3857.2,0.713,2,2.2,28.66
17240,Simhadri Daily Express,SCoR,GNT-BZA,0.62,2.79,3870.9,0.14,2,0.0,15.09
17243,Guntur - Rayagada Express,SCoR,BZA-EE,20.82,28.9,7806.9,0.256,2,0.74,25.17
17244,Guntur - Rayagada Express,SCoR,BZA-KI,3.0,13.95,1190.3,0.191,2,1.73,10.55
12705,Guntur - Secunderabad Intercity Express,SCR,GNT-NLR,9.1,2.11,7827.9,0.319,2,2.04,19.61
12706,Guntur - Secunderabad Intercity Express,SCR,BZA-VSKP,1.48,21.84,294.0,0.25,2,2.89,12.72
12743,Vijayawada - Gudur Amaravati Express,SCoR,BZA-WL,20.23,21.8,7930.2,0.166,2,0.47,19.65
12744,Vijayawada - Gudur Amaravati Express,SCoR,WL-SC,2.05,29.13,7940.6,0.198,2,1.52,0.0
12077,Vijayawada Jan Shatabdi Express,SCoR,GNT-RGDA,38.07,8.5,1405.6,0.587,1,3.46,44.05
12078,Vijayawada Jan Shatabdi Express,SCoR,GNT-BZA,20.88,5.98,1124.6,0.563,1,1.28,24.09
16031,Andaman Express,SCoR,BZA-EE,22.31,17.46,8100.9,0.1,3,2.0,29.91
16032,Andaman Express,SCoR,BZA-KI,35.19,14.61,1287.5,0.45,3,2.03,41.98
17201,Golconda Express,SCR,GNT-NLR,3.02,11.45,7825.7,0.183,3,0.93,8.08
17202,Golconda Express,SCR,BZA-VSKP,1.27,1.56,3886.6,0.153,3,1.05,16.74
17656,Kacheguda - Puducherry Express,SCR,BZA-WL,24.34,32.5,7713.6,0.628,2,1.54,26.37
22117,Kacheguda - Guntur AC Double Decker Express,SCR,WL-SC,10.65,14.52,394.4,0.1,1,1.21,20.52
22118,Kacheguda - Guntur AC Double Decker Express,SCR,GNT-RGDA,9.58,2.72,8064.8,0.379,1,0.84,18.95
12002,Bhopal Shatabdi Express,NCR,AGC-DHO,4.94,30.6,7865.5,0.63,1,0.0,3.19
12001,Bhopal Shatabdi Express,NCR,DHO-GWL,6.02,19.02,8199.3,0.468,1,1.3,3.08
12049,Gatimaan Express,NCR,GWL-DBA,13.66,2.93,7737.2,0.756,1,2.13,28.32
12050,Gatimaan Express,NCR,DBA-JHS,27.12,11.11,7780.0,0.234,1,2.67,25.86
20172,Rani Kamalapati Vande Bharat,NCR,NDLS-CNB,16.07,13.26,3950.4,0.343,1,2.23,18.15
20171,Rani Kamalapati Vande Bharat,NCR,CNB-ALD,10.35,30.45,8342.2,0.603,1,0.56,9.83
12279,Taj Express,NCR,NDLS-GZB,32.7,24.43,1265.6,0.579,2,2.3,37.9
12280,Taj Express,NCR,GZB-ALJN,3.5,30.43,8135.1,0.344,2,3.53,8.74
12452,Shram Shakti Express,NCR,ALJN-TDL,6.73,10.38,1467.3,0.682,2,0.53,14.14
12451,Shram Shakti Express,NCR,TDL-AGC,0.74,5.45,3873.0,0.622,2,2.14,3.47
12417,Prayagraj Express,NCR,AGC-DHO,9.53,6.94,8286.7,0.413,2,3.45,17.58
12418,Prayagraj Express,NCR,DHO-GWL,8.32,3.36,7749.7,0.73,2,1.16,22.15
12559,Shiv Ganga Express,NCR,GWL-DBA,14.36,31.61,921.3,0.423,2,2.28,22.65
12560,Shiv Ganga Express,NCR,DBA-JHS,12.05,21.18,7864.3,0.866,2,2.35,25.15
12137,Punjab Mail,NCR,NDLS-CNB,1.31,14.67,4097.0,0.28,2,0.0,2.81
12138,Punjab Mail,NCR,CNB-ALD,0.16,19.37,1211.9,0.468,2,0.49,2.39
12615,Grand Trunk Express,NCR,NDLS-GZB,3.3,4.23,8225.5,0.341,2,0.83,14.86
12616,Grand Trunk Express,NCR,GZB-ALJN,4.38,14.69,3827.0,0.716,2,1.89,12.79
13007,Ashutosh Toofan Express,NCR,ALJN-TDL,16.8,30.68,8159.2,0.328,3,0.95,20.47
13008,Ashutosh Toofan Express,NCR,TDL-AGC,11.52,29.9,7991.9,0.316,3,1.6,21.33
04414,Delhi - Aligarh MEMU Passenger,NCR,AGC-DHO,9.43,8.95,3864.4,0.685,3,2.5,17.91
04183,Tundla - Delhi MEMU Passenger,NCR,DHO-GWL,19.92,20.83,4209.9,0.11,3,0.4,28.15
04159,Kanpur - Tundla MEMU Passenger,NCR,GWL-DBA,0.25,11.74,7963.6,0.38,3,3.21,6.54
01888,Gwalior - Agra Cantt Passenger,NCR,DBA-JHS,7.27,15.02,322.1,0.334,3,1.91,26.35
07091,Guntur - Delhi Passenger Special,SCoR,GNT-BZA,2.12,23.38,80.7,0.1,3,1.24,23.12
07764,Guntur - Vijayawada MEMU Passenger,SCoR,BZA-EE,5.88,23.43,7921.1,0.392,3,2.11,12.21
17239,Simhadri Daily Express,SCoR,BZA-KI,11.05,20.78,7820.7,0.276,2,0.49,16.43
17240,Simhadri Daily Express,SCoR,GNT-NLR,9.65,21.24,923.1,0.672,2,1.59,16.13
17243,Guntur - Rayagada Express,SCoR,BZA-VSKP,4.22,5.88,8120.6,0.854,2,2.11,16.3
17244,Guntur - Rayagada Express,SCoR,BZA-WL,21.15,3.73,8164.3,0.433,2,1.38,30.96
12705,Guntur - Secunderabad Intercity Express,SCR,WL-SC,0.49,14.78,7878.0,0.485,2,0.69,2.74
12706,Guntur - Secunderabad Intercity Express,SCR,GNT-RGDA,6.95,22.89,8019.7,0.488,2,0.86,11.55
12743,Vijayawada - Gudur Amaravati Express,SCoR,GNT-BZA,5.23,28.19,4181.3,0.32,2,2.13,8.17
12744,Vijayawada - Gudur Amaravati Express,SCoR,BZA-EE,9.35,21.57,8165.4,0.659,2,0.76,8.95
12077,Vijayawada Jan Shatabdi Express,SCoR,BZA-KI,13.18,3.72,8019.8,0.372,1,1.35,18.5
12078,Vijayawada Jan Shatabdi Express,SCoR,GNT-NLR,8.6,17.43,7970.3,0.228,1,3.78,6.27
16031,Andaman Express,SCoR,BZA-VSKP,12.45,2.55,199.5,0.208,3,0.0,35.21
16032,Andaman Express,SCoR,BZA-WL,5.32,34.64,4146.7,0.114,3,3.62,10.9
17201,Golconda Express,SCR,WL-SC,4.9,7.02,7990.4,0.336,3,0.0,9.64
17202,Golconda Express,SCR,GNT-RGDA,1.22,7.09,1276.7,0.795,3,0.0,17.28
17656,Kacheguda - Puducherry Express,SCR,GNT-BZA,3.05,14.58,8007.7,0.172,2,2.94,6.99
22117,Kacheguda - Guntur AC Double Decker Express,SCR,BZA-EE,19.57,30.46,7880.7,0.838,1,2.82,22.84
22118,Kacheguda - Guntur AC Double Decker Express,SCR,BZA-KI,1.71,6.4,644.4,0.778,1,2.87,14.75
12002,Bhopal Shatabdi Express,NCR,DBA-JHS,10.28,6.49,8314.4,0.476,1,0.75,13.25
12001,Bhopal Shatabdi Express,NCR,NDLS-CNB,10.06,28.07,3838.4,0.131,1,3.67,6.13
12049,Gatimaan Express,NCR,CNB-ALD,8.65,10.8,7724.0,0.37,1,1.07,8.73
12050,Gatimaan Express,NCR,NDLS-GZB,1.15,22.27,3805.1,0.891,1,2.62,10.46
20172,Rani Kamalapati Vande Bharat,NCR,GZB-ALJN,10.9,28.55,8048.1,0.512,1,0.55,8.77
20171,Rani Kamalapati Vande Bharat,NCR,ALJN-TDL,9.72,20.99,7840.1,0.229,1,0.0,9.77
12279,Taj Express,NCR,TDL-AGC,6.14,28.6,8200.5,0.304,2,0.0,12.16
12280,Taj Express,NCR,AGC-DHO,69.51,25.49,8029.8,0.481,2,3.96,71.64
12452,Shram Shakti Express,NCR,DHO-GWL,3.28,26.77,1079.0,0.1,2,1.63,12.75
12451,Shram Shakti Express,NCR,GWL-DBA,17.42,24.52,294.9,0.236,2,0.0,36.5
12417,Prayagraj Express,NCR,DBA-JHS,8.43,11.61,8193.5,0.769,2,0.74,17.38
12418,Prayagraj Express,NCR,NDLS-CNB,5.55,26.54,1211.4,0.276,2,0.9,10.71
12559,Shiv Ganga Express,NCR,CNB-ALD,7.99,4.71,8148.5,0.197,2,0.98,14.29
12560,Shiv Ganga Express,NCR,NDLS-GZB,14.07,33.13,4063.5,0.769,2,1.07,20.69
12137,Punjab Mail,NCR,GZB-ALJN,19.46,30.29,7980.7,0.346,2,2.21,24.72
12138,Punjab Mail,NCR,ALJN-TDL,1.69,24.97,3936.1,0.121,2,1.59,5.07
12615,Grand Trunk Express,NCR,TDL-AGC,7.74,29.87,8050.8,0.252,2,0.48,14.11
12616,Grand Trunk Express,NCR,AGC-DHO,21.23,25.12,7977.2,0.343,2,1.93,25.76
13007,Ashutosh Toofan Express,NCR,DHO-GWL,1.43,14.86,1359.8,0.483,3,0.62,10.53
13008,Ashutosh Toofan Express,NCR,GWL-DBA,5.53,13.14,8005.9,0.726,3,1.53,16.61
04414,Delhi - Aligarh MEMU Passenger,NCR,DBA-JHS,13.06,21.24,7984.0,0.668,3,0.31,26.8
04183,Tundla - Delhi MEMU Passenger,NCR,NDLS-CNB,7.35,9.73,897.2,0.411,3,1.53,17.82
04159,Kanpur - Tundla MEMU Passenger,NCR,CNB-ALD,2.74,15.24,7976.1,0.375,3,1.68,9.41
01888,Gwalior - Agra Cantt Passenger,NCR,NDLS-GZB,31.71,15.64,7673.4,0.247,3,2.47,39.89
07091,Guntur - Delhi Passenger Special,SCoR,GNT-NLR,19.46,12.6,7931.9,0.192,3,1.83,22.36
07764,Guntur - Vijayawada MEMU Passenger,SCoR,BZA-VSKP,7.92,34.55,1237.2,0.114,3,2.3,13.66
17239,Simhadri Daily Express,SCoR,BZA-WL,4.94,29.14,7840.4,0.548,2,2.07,10.25
17240,Simhadri Daily Express,SCoR,WL-SC,28.28,17.76,7954.8,0.406,2,2.06,27.94
17243,Guntur - Rayagada Express,SCoR,GNT-RGDA,1.57,22.59,8072.8,0.232,2,1.01,3.61
17244,Guntur - Rayagada Express,SCoR,GNT-BZA,17.61,32.78,351.2,0.399,2,2.62,24.68
12705,Guntur - Secunderabad Intercity Express,SCR,BZA-EE,2.09,24.5,8005.2,0.1,2,3.06,3.33
12706,Guntur - Secunderabad Intercity Express,SCR,BZA-KI,6.4,2.35,7888.7,0.331,2,1.02,21.19
12743,Vijayawada - Gudur Amaravati Express,SCoR,GNT-NLR,47.72,13.97,1379.6,0.1,2,2.08,41.64
12744,Vijayawada - Gudur Amaravati Express,SCoR,BZA-VSKP,12.12,13.1,7833.8,0.534,2,0.76,11.93
12077,Vijayawada Jan Shatabdi Express,SCoR,BZA-WL,4.28,22.86,3852.2,0.635,1,0.0,3.3
12078,Vijayawada Jan Shatabdi Express,SCoR,WL-SC,13.82,1.86,4120.2,0.338,1,0.63,22.9
16031,Andaman Express,SCoR,GNT-RGDA,1.91,11.13,7840.8,0.333,3,3.48,13.09
16032,Andaman Express,SCoR,GNT-BZA,2.61,6.65,762.1,0.403,3,2.64,16.09
17201,Golconda Express,SCR,BZA-EE,0.61,9.74,8111.6,0.356,3,0.0,6.94
17202,Golconda Express,SCR,BZA-KI,28.84,20.34,1118.8,0.625,3,2.7,40.36
17656,Kacheguda - Puducherry Express,SCR,GNT-NLR,16.24,28.37,1285.7,0.299,2,3.44,17.63
22117,Kacheguda - Guntur AC Double Decker Express,SCR,BZA-VSKP,5.3,22.58,8044.6,0.504,1,0.49,2.66
22118,Kacheguda - Guntur AC Double Decker Express,SCR,BZA-WL,27.39,18.85,3611.7,0.61,1,2.65,27.26
12002,Bhopal Shatabdi Express,NCR,NDLS-GZB,9.6,6.21,4227.8,0.491,1,1.97,8.5
12001,Bhopal Shatabdi Express,NCR,GZB-ALJN,27.32,5.06,8029.5,0.297,1,1.01,31.88
12049,Gatimaan Express,NCR,ALJN-TDL,24.45,4.0,1150.7,0.377,1,0.5,31.78
12050,Gatimaan Express,NCR,TDL-AGC,2.86,2.41,8078.1,0.544,1,1.56,16.63
20172,Rani Kamalapati Vande Bharat,NCR,AGC-DHO,3.6,2.8,3944.9,0.108,1,3.05,15.91
20171,Rani Kamalapati Vande Bharat,NCR,DHO-GWL,42.01,25.74,175.6,0.294,1,3.14,56.68
12279,Taj Express,NCR,GWL-DBA,8.08,18.97,7788.2,0.199,2,0.57,6.74
12280,Taj Express,NCR,DBA-JHS,32.41,32.37,8112.7,0.713,2,2.22,39.83
12452,Shram Shakti Express,NCR,NDLS-CNB,0.14,19.8,3870.5,0.156,2,1.95,0.0
12451,Shram Shakti Express,NCR,CNB-ALD,0.93,4.61,1105.5,0.335,2,1.64,10.55
12417,Prayagraj Express,NCR,NDLS-GZB,1.52,2.24,7988.1,0.35,2,0.0,21.81
12418,Prayagraj Express,NCR,GZB-ALJN,10.15,12.3,7786.4,0.464,2,1.84,16.01
12559,Shiv Ganga Express,NCR,ALJN-TDL,14.48,10.7,3827.3,0.372,2,2.55,18.83
12560,Shiv Ganga Express,NCR,TDL-AGC,11.31,19.58,8139.9,0.457,2,1.54,16.32
12137,Punjab Mail,NCR,AGC-DHO,11.09,3.71,4059.0,0.314,2,0.9,24.11
12138,Punjab Mail,NCR,DHO-GWL,25.43,23.06,1057.4,0.339,2,2.85,33.61
12615,Grand Trunk Express,NCR,GWL-DBA,7.71,8.68,3894.3,0.404,2,1.15,11.61
12616,Grand Trunk Express,NCR,DBA-JHS,17.59,15.47,4196.7,0.332,2,0.47,25.41
13007,Ashutosh Toofan Express,NCR,NDLS-CNB,1.72,32.8,1141.9,0.357,3,0.41,8.5
13008,Ashutosh Toofan Express,NCR,CNB-ALD,14.48,27.02,489.3,0.296,3,0.75,35.22
04414,Delhi - Aligarh MEMU Passenger,NCR,NDLS-GZB,45.07,13.82,1332.9,0.591,3,0.69,52.82
04183,Tundla - Delhi MEMU Passenger,NCR,GZB-ALJN,16.94,14.39,4244.4,0.336,3,1.12,22.55
04159,Kanpur - Tundla MEMU Passenger,NCR,ALJN-TDL,6.13,2.95,3844.0,0.514,3,1.66,15.9
01888,Gwalior - Agra Cantt Passenger,NCR,TDL-AGC,0.09,24.52,3983.4,0.304,3,0.0,9.69
07091,Guntur - Delhi Passenger Special,SCoR,WL-SC,19.18,30.39,8245.8,0.404,3,1.46,26.34
07764,Guntur - Vijayawada MEMU Passenger,SCoR,GNT-RGDA,2.74,29.1,3967.4,0.1,3,0.36,8.43
17239,Simhadri Daily Express,SCoR,GNT-BZA,1.66,11.13,968.6,0.296,2,1.29,9.45
17240,Simhadri Daily Express,SCoR,BZA-EE,2.37,31.3,8046.0,0.132,2,1.38,1.19
17243,Guntur - Rayagada Express,SCoR,BZA-KI,6.71,1.92,1176.0,0.622,2,2.82,20.97
17244,Guntur - Rayagada Express,SCoR,GNT-NLR,31.39,33.71,7738.7,0.285,2,0.19,29.23
12705,Guntur - Secunderabad Intercity Express,SCR,BZA-VSKP,1.03,6.25,7906.1,0.1,2,1.31,4.84
12706,Guntur - Secunderabad Intercity Express,SCR,BZA-WL,10.15,31.93,8006.8,0.537,2,0.0,13.81
12743,Vijayawada - Gudur Amaravati Express,SCoR,WL-SC,9.15,14.79,7729.4,0.742,2,1.68,19.01
12744,Vijayawada - Gudur Amaravati Express,SCoR,GNT-RGDA,55.61,21.79,7908.4,0.615,2,0.0,64.32
12077,Vijayawada Jan Shatabdi Express,SCoR,GNT-BZA,10.31,12.63,1188.3,0.344,1,0.0,13.99
12078,Vijayawada Jan Shatabdi Express,SCoR,BZA-EE,40.92,20.42,1231.4,0.1,1,2.25,41.45
16031,Andaman Express,SCoR,BZA-KI,6.02,30.48,7866.8,0.441,3,0.0,11.75
16032,Andaman Express,SCoR,GNT-NLR,8.96,24.38,7980.2,0.3,3,0.0,12.25
17201,Golconda Express,SCR,BZA-VSKP,44.22,14.98,7855.0,0.43,3,2.41,47.45
17202,Golconda Express,SCR,BZA-WL,1.11,24.01,8226.4,0.513,3,2.95,10.63
17656,Kacheguda - Puducherry Express,SCR,WL-SC,9.44,5.27,7770.9,0.34,2,0.8,10.92
22117,Kacheguda - Guntur AC Double Decker Express,SCR,GNT-RGDA,5.95,34.2,305.5,0.699,1,0.43,22.66
22118,Kacheguda - Guntur AC Double Decker Express,SCR,GNT-BZA,22.36,13.23,4057.5,0.334,1,0.0,19.33
12002,Bhopal Shatabdi Express,NCR,TDL-AGC,14.19,27.05,7910.7,0.41,1,2.82,17.83
12001,Bhopal Shatabdi Express,NCR,AGC-DHO,11.29,32.11,7826.9,0.271,1,2.53,2.34
12049,Gatimaan Express,NCR,DHO-GWL,10.11,22.48,7705.1,0.746,1,1.56,10.51
12050,Gatimaan Express,NCR,GWL-DBA,31.53,30.5,3983.8,0.477,1,1.87,33.19
20172,Rani Kamalapati Vande Bharat,NCR,DBA-JHS,21.57,20.63,4257.8,0.1,1,1.77,23.95
20171,Rani Kamalapati Vande Bharat,NCR,NDLS-CNB,1.72,24.52,928.7,0.1,1,1.69,6.92
12279,Taj Express,NCR,CNB-ALD,11.8,3.56,7939.1,0.254,2,2.2,21.47
12280,Taj Express,NCR,NDLS-GZB,15.98,10.35,4050.8,0.353,2,2.8,22.7
12452,Shram Shakti Express,NCR,GZB-ALJN,21.72,34.13,599.6,0.62,2,2.52,35.45
12451,Shram Shakti Express,NCR,ALJN-TDL,14.51,16.62,7931.5,0.671,2,1.81,14.58
12417,Prayagraj Express,NCR,TDL-AGC,0.82,34.07,7671.3,0.194,2,2.64,4.98
12418,Prayagraj Express,NCR,AGC-DHO,0.49,21.32,1073.4,0.248,2,2.69,8.9
12559,Shiv Ganga Express,NCR,DHO-GWL,3.37,15.32,1148.9,0.507,2,2.91,7.62
12560,Shiv Ganga Express,NCR,GWL-DBA,16.96,20.8,8015.0,0.363,2,1.61,21.37
12137,Punjab Mail,NCR,DBA-JHS,20.54,12.11,7767.3,0.396,2,3.18,27.76
12138,Punjab Mail,NCR,NDLS-CNB,2.77,12.98,8174.4,0.587,2,0.12,7.15
12615,Grand Trunk Express,NCR,CNB-ALD,1.34,28.64,4194.2,0.391,2,2.04,1.41
12616,Grand Trunk Express,NCR,NDLS-GZB,38.03,2.14,4158.1,0.612,2,2.54,54.4
13007,Ashutosh Toofan Express,NCR,GZB-ALJN,2.85,5.9,1332.2,0.6,3,2.31,13.59
13008,Ashutosh Toofan Express,NCR,ALJN-TDL,16.87,11.52,8251.6,0.433,3,2.54,19.96
04414,Delhi - Aligarh MEMU Passenger,NCR,TDL-AGC,3.49,32.12,8103.6,0.44,3,2.09,8.44
04183,Tundla - Delhi MEMU Passenger,NCR,AGC-DHO,2.5,11.33,8158.7,0.659,3,0.13,10.95
04159,Kanpur - Tundla MEMU Passenger,NCR,DHO-GWL,1.23,6.67,326.8,0.321,3,2.0,14.8
01888,Gwalior - Agra Cantt Passenger,NCR,GWL-DBA,0.48,16.49,1314.6,0.293,3,2.94,12.35
07091,Guntur - Delhi Passenger Special,SCoR,BZA-EE,1.36,27.54,304.4,0.818,3,2.78,30.95
07764,Guntur - Vijayawada MEMU Passenger,SCoR,BZA-KI,33.02,32.99,8055.5,0.508,3,1.21,44.34
17239,Simhadri Daily Express,SCoR,GNT-NLR,3.57,25.46,8125.9,0.82,2,2.34,8.45
